"Field1","Field2_Text","Field3"
"Bill Gates: Teachers need real feedback                                                                                                                              Verified            1.8M views6 years ago","Bill Gates: Teachers need real feedback","1.8M views"
"Militant atheism | Richard Dawkins                                                                                                                              Verified            1.8M views11 years ago","Militant atheism | Richard Dawkins","1.8M views"
"Maybe the best robot demo ever | Marco Tempest                                                                                                                              Verified            1.8M views5 years ago","Maybe the best robot demo ever | Marco Tempest","1.8M views"
"How to build your creative confidence | David Kelley                                                                                                                              Verified            1.7M views7 years ago","How to build your creative confidence | David Kelley","1.7M views"
"Autism — what we know (and what we don't know yet) | Wendy Chung                                                                                                                              Verified            1.7M views5 years ago","Autism — what we know (and what we don't know yet) | Wendy Chung","1.7M views"
"I don't want children -- stop telling me I'll change my mind | Christen Reighter                                                                                                                              Verified            1.7M views1 year ago","I don't want children -- stop telling me I'll change my mind | Christen Reighter","1.7M views"
"Wii remote hacks | Johnny Lee                                                                                                                              Verified            1.7M views11 years ago","Wii remote hacks | Johnny Lee","1.7M views"
"Teach every child about food | Jamie Oliver                                                                                                                              Verified            1.7M views9 years ago","Teach every child about food | Jamie Oliver","1.7M views"
"How books can open your mind | Lisa Bu                                                                                                                              Verified            1.7M views6 years ago","How books can open your mind | Lisa Bu","1.7M views"
"Why Brexit happened -- and what to do next | Alexander Betts                                                                                                                              Verified            1.7M views3 years ago","Why Brexit happened -- and what to do next | Alexander Betts","1.7M views"
"Why the universe seems so strange | Richard Dawkins                                                                                                                              Verified            1.6M views12 years ago","Why the universe seems so strange | Richard Dawkins","1.6M views"
